Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Package C6 Residency [%]","Core 0 C0 Residency [%]","Core 1 C0 Residency [%]","Core 2 C0 Residency [%]","Core 3 C0 Residency [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [�C]","CPU SOC [�C]","APU GFX [�C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","CPU TDC [A]","CPU Package Power (SMU) [W]","Core 0 Power (SMU) [W]","Core 1 Power (SMU) [W]","Core 2 Power (SMU) [W]","Core 3 Power (SMU) [W]","CPU Core Power [W]","CPU SoC Power [W]","Core+SoC Power [W]","APU STAPM [W]","Infinity Fabric Clock (FCLK) [MHz]","Memory Controller Clock (UCLK) [MHz]","CPU TDC Limit [%]","CPU PPT FAST Limit [%]","CPU PPT SLOW Limit [%]","APU STAPM Limit [%]","Thermal Throttling (HTC) [Yes/No]","Thermal Throttling (PROCHOT CPU) [Yes/No]","Thermal Throttling (PROCHOT EXT) [Yes/No]","System1 [�C]","Chipset [�C]","CPU [�C]","PCIEX16 [�C]","VRM MOS [�C]","VSOC MOS [�C]","Vcore [V]","+3.3V [V]","+12V [V]","+5V [V]","CPU VCORE SOC [V]","CPU VDDP [V]","DRAM [V]","3VSB [V]","VBAT [V]","AVCC3 [V]","CPU [RPM]","System 1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [�C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [�C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [�C]","VDDCR_CPU [V]","VDDCR_SOC [V]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU SoC Clock [MHz]","GPU VCN Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Computing (High Priority Compute) Usage [%]","GPU Computing (Compute 0) Usage [%]","GPU Computing (Compute 1) Usage [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Usage [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
14.8.2020,15:21:26.203,5216,11627,30.9,3278,2814,53.8,0.1,0.912,0.912,0.912,0.950,1344.3,1344.3,1344.3,2957.5,99.9,195.3,191.7,174.7,185.9,186.9,8.2,5.2,3.7,4.5,8.2,5.4,13.5,13.5,13.5,29.6,31.2,9.1,8.6,8.3,8.1,22.6,23.4,24.3,23.0,68.4,68.3,67.6,68.9,1498.7,15.00,16,18,18,36,54,390,1,37.1,34.8,32.9,0.912,1.087,0.906,0.993,4.109,0.141,0.151,0.137,0.150,1.463,6.095,7.558,12.098,1500.0,1500.0,1.5,11.1,11.8,18.6,No,No,No,34,46,37,16,34,37,0.912,3.324,12.168,5.070,1.212,0.924,1.380,3.336,3.096,3.072,1530,667,Yes,44,100.0,No,No,953,1896,35,No,No,0.2,0.1,0.3,0.192,0.125,13890,9659,0.0,0.0,0.0,0.000,0.000,46,0,32.0,1.300,1.087,200.0,1500.0,199.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,188,33,8.0,228,0,0,0.000,0.000,536,29,2.464,2.244,0,
14.8.2020,15:21:28.283,5208,11635,30.9,3273,2819,53.7,0.1,0.750,0.750,0.750,0.887,2957.5,1344.3,1344.3,1398.8,99.9,88.9,55.3,70.8,140.9,89.0,3.7,1.5,0.7,3.7,3.7,2.4,29.6,13.5,13.5,14.0,34.9,6.6,4.1,4.4,8.0,18.1,3.7,10.1,35.5,75.5,92.4,85.5,56.6,1498.7,15.00,16,18,18,36,54,390,1,35.0,34.6,32.8,0.912,1.087,0.906,0.914,3.720,0.036,0.012,0.031,0.087,0.592,5.892,6.484,12.041,1500.0,1500.0,1.4,9.8,11.4,18.5,No,No,No,34,46,35,16,34,37,0.912,3.324,12.168,5.070,1.212,0.924,1.380,3.336,3.096,3.072,1457,668,Yes,44,100.0,No,No,953,1896,35,No,No,0.0,0.1,0.1,0.007,0.153,13890,9660,0.0,0.0,0.0,0.000,0.000,46,0,32.0,0.887,1.087,200.0,1500.0,199.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,188,33,8.0,228,0,0,0.000,0.000,536,29,0.119,0.367,0,
14.8.2020,15:21:30.396,5198,11646,30.8,3263,2828,53.5,0.1,0.894,0.750,0.750,0.894,1398.8,1398.8,1398.8,1398.8,99.9,87.9,90.7,104.6,122.2,101.3,1.4,1.4,2.9,3.7,3.7,2.3,14.0,14.0,14.0,14.0,44.0,6.5,4.8,5.4,6.6,12.3,9.3,11.8,22.2,81.3,86.0,83.0,71.5,1498.7,15.00,16,18,18,36,54,390,1,34.9,34.5,32.6,0.912,1.087,0.906,0.569,3.630,0.032,0.066,0.070,0.083,0.621,5.722,6.343,11.967,1500.0,1500.0,0.9,9.5,10.8,18.4,No,No,No,34,47,34,16,34,37,0.768,3.324,12.168,5.070,1.224,0.924,1.380,3.336,3.096,3.072,1442,667,Yes,44,100.0,No,No,953,1896,35,No,No,0.0,0.1,0.1,0.000,0.128,13890,9660,0.0,0.0,0.0,0.000,0.000,46,0,32.0,0.743,1.087,200.0,1500.0,199.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,188,33,8.0,228,0,0,0.000,0.000,536,29,0.000,0.000,0,
14.8.2020,15:21:32.482,5198,11645,30.8,3262,2829,53.5,0.1,0.887,0.750,0.887,0.887,1398.8,1398.8,1398.8,1776.3,99.9,130.0,63.5,60.0,244.5,124.5,5.2,1.4,2.2,5.9,5.9,3.7,14.0,14.0,14.0,17.8,20.6,8.3,4.4,4.7,11.4,17.0,3.4,3.6,47.6,74.7,92.2,91.8,41.1,1498.7,15.00,16,18,18,36,54,390,1,34.8,34.4,32.7,0.900,1.087,0.894,0.690,4.111,0.046,0.022,0.015,0.180,0.806,6.358,7.164,11.901,1500.0,1500.0,1.1,10.7,10.5,18.3,No,No,No,34,46,34,16,33,37,0.900,3.324,12.168,5.070,1.212,0.924,1.380,3.336,3.096,3.072,1442,666,Yes,41,100.0,No,No,953,1896,35,No,No,0.1,0.0,0.1,0.104,0.000,13890,9660,0.0,0.0,0.0,0.000,0.000,46,0,32.0,1.300,1.087,200.0,1500.0,199.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,190,33,8.0,229,0,0,0.000,0.000,536,29,0.000,0.000,0,
14.8.2020,15:21:34.566,5197,11647,30.8,3262,2830,53.5,0.1,0.750,0.738,0.912,0.744,2957.5,1398.8,1398.8,1398.8,99.9,69.7,45.4,64.6,99.1,69.7,2.2,2.2,1.4,2.2,2.2,2.0,29.6,14.0,14.0,14.0,54.3,5.2,2.9,3.3,5.2,18.5,2.7,5.5,15.6,76.4,94.5,91.3,79.5,1498.7,15.00,16,18,18,36,54,390,1,34.8,34.5,32.6,0.887,1.087,0.887,0.533,3.516,0.036,0.016,0.033,0.065,0.394,5.980,6.375,11.843,1500.0,1500.0,0.8,9.4,10.4,18.2,No,No,No,34,46,34,16,33,37,0.756,3.324,12.168,5.070,1.224,0.924,1.380,3.336,3.096,3.072,1439,666,Yes,41,100.0,No,No,953,1896,35,No,No,0.0,0.0,0.0,0.000,0.044,13890,9660,0.0,0.0,0.0,0.000,0.000,46,0,31.0,0.887,1.087,200.0,1500.0,199.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,190,33,8.0,229,0,0,0.000,0.000,536,29,0.141,0.131,0,
14.8.2020,15:21:36.669,5197,11647,30.8,3261,2830,53.5,0.1,0.750,0.738,0.738,0.750,1398.8,1398.8,1398.8,1398.8,99.9,68.7,46.2,51.7,97.2,66.0,0.7,0.7,0.0,1.4,1.4,0.7,14.0,14.0,14.0,14.0,55.5,5.1,3.9,3.1,4.5,9.3,7.5,4.2,15.4,85.7,88.9,92.7,80.3,1498.7,15.00,16,18,18,36,54,390,1,34.8,34.3,32.5,0.912,1.087,0.906,0.312,3.437,0.025,0.012,0.014,0.065,0.255,5.886,6.141,11.767,1500.0,1500.0,0.5,9.1,10.0,18.1,No,No,No,34,47,34,16,33,37,0.912,3.324,12.168,5.070,1.224,0.924,1.380,3.336,3.096,3.072,1442,665,Yes,41,100.0,No,No,953,1896,35,No,No,0.0,0.0,0.0,0.000,0.050,13890,9660,0.0,0.0,0.0,0.000,0.000,46,0,31.0,0.906,1.087,200.0,1500.0,199.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,190,33,8.0,229,0,0,0.000,0.000,536,29,0.144,0.178,0,
14.8.2020,15:21:38.732,5197,11647,30.8,3261,2830,53.5,0.1,0.750,0.912,0.738,0.750,2957.5,1398.8,1398.8,1398.8,99.9,50.4,91.0,102.3,89.1,83.2,0.7,0.7,0.7,2.2,2.2,1.1,29.6,14.0,14.0,14.0,46.1,4.1,4.8,4.4,4.2,8.9,13.1,12.9,15.3,87.3,82.4,82.8,80.8,1498.7,15.00,16,18,18,36,54,390,1,34.8,34.3,32.5,0.912,1.087,0.906,0.418,3.464,0.010,0.060,0.082,0.064,0.513,5.470,5.983,11.693,1500.0,1500.0,0.6,9.0,9.7,18.0,No,No,No,34,47,34,16,33,37,0.924,3.324,12.168,5.070,1.224,0.924,1.380,3.336,3.096,3.072,1442,668,Yes,41,100.0,No,No,953,1896,35,No,No,0.0,0.1,0.1,0.000,0.118,13890,9660,0.0,0.0,0.0,0.000,0.000,46,0,31.0,0.887,1.087,200.0,1500.0,199.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,190,33,8.0,229,0,0,0.000,0.000,536,29,0.040,0.035,0,
14.8.2020,15:21:40.841,5196,11647,30.8,3261,2831,53.5,0.1,0.894,0.887,0.900,0.912,1398.8,1398.8,1398.8,1398.8,99.9,39.9,48.9,66.0,74.5,57.3,2.2,0.0,0.7,2.2,2.2,1.3,14.0,14.0,14.0,14.0,57.4,3.4,3.1,3.3,3.6,9.5,3.3,4.1,14.4,87.3,93.7,92.6,82.2,1498.7,15.00,16,18,18,36,54,390,1,34.8,34.2,32.4,0.887,1.087,0.887,0.298,3.258,0.008,0.018,0.029,0.058,0.237,5.411,5.648,11.612,1500.0,1500.0,0.5,8.5,9.4,17.9,No,No,No,34,47,34,16,33,37,0.912,3.324,12.168,5.070,1.224,0.924,1.380,3.336,3.096,3.072,1442,666,Yes,41,100.0,No,No,953,1896,35,No,No,0.0,0.0,0.0,0.000,0.062,13890,9660,0.0,0.0,0.0,0.000,0.000,46,0,32.0,0.887,1.087,200.0,1500.0,199.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,190,33,8.0,229,0,0,0.000,0.000,536,29,0.041,0.044,0,
14.8.2020,15:21:42.920,5194,11649,30.8,3261,2831,53.5,0.1,0.887,0.750,0.912,0.912,1398.8,1344.3,1344.3,1398.8,99.9,77.1,58.3,65.2,101.0,75.4,2.2,0.0,0.7,2.2,2.2,1.3,14.0,13.5,13.5,14.0,51.8,5.7,4.2,3.9,5.8,11.6,7.5,5.5,14.5,82.8,88.5,90.7,80.0,1498.7,15.00,16,18,18,36,54,390,1,34.8,34.2,32.3,0.887,1.087,0.887,0.270,3.334,0.030,0.019,0.021,0.064,0.306,5.511,5.818,11.529,1500.0,1500.0,0.4,8.8,9.1,17.7,No,No,No,34,47,34,16,33,37,0.420,3.324,12.168,5.070,1.212,0.924,1.380,3.336,3.096,3.072,1442,666,Yes,41,100.0,No,No,953,1896,35,No,No,0.0,0.0,0.0,0.015,0.000,13890,9660,0.0,0.0,0.0,0.000,0.000,46,0,33.0,1.037,1.087,200.0,1500.0,199.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,188,33,8.0,228,0,0,0.000,0.000,536,29,0.040,0.040,0,
14.8.2020,15:21:45.005,5195,11648,30.8,3263,2829,53.5,0.1,0.900,1.000,0.912,0.912,2957.5,2957.5,2757.7,2797.7,99.9,264.6,306.5,223.7,364.0,289.7,6.7,5.9,7.4,12.0,12.0,8.0,29.6,29.6,27.6,28.0,4.0,13.3,12.9,11.5,15.9,49.3,39.3,38.9,63.4,37.4,47.8,49.7,20.7,1498.7,15.00,16,18,18,36,54,390,1,34.9,34.5,32.6,0.912,1.087,0.906,1.342,5.026,0.176,0.202,0.161,0.299,2.556,6.787,9.343,11.487,1500.0,1500.0,2.1,13.5,9.7,17.7,No,No,No,34,46,34,16,33,37,0.924,3.324,12.168,5.070,1.212,0.924,1.380,3.336,3.096,3.072,1439,666,Yes,41,100.0,No,No,953,1896,35,No,No,0.0,0.0,0.0,0.003,0.041,13890,9661,0.0,0.0,0.0,0.000,0.000,46,0,31.0,1.281,1.087,200.0,1500.0,199.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,183,33,8.0,223,0,0,0.000,0.000,536,29,0.097,0.044,0,
